,Comple,Symm,UnFairSLA,BestScheduler
582,0.111,0.5,2,Perf
583,0.08,0.714,0,DRF
584,0.08,0.714,0.2,Fair
585,0.08,0.714,0.4,Fair
586,0.08,0.714,0.6,Fair
587,0.08,0.714,0.8,Fair
588,0.08,0.714,1,Fair
589,0.08,0.714,1.2,Fair
590,0.08,0.714,1.4,Fair
591,0.08,0.714,1.6,Fair
592,0.08,0.714,1.8,Fair
593,0.08,0.714,2,Fair
594,0.115,0.333,0,DRF
595,0.115,0.333,0.2,Perf
596,0.115,0.333,0.4,Perf
597,0.115,0.333,0.6,Perf
598,0.115,0.333,0.8,Perf
599,0.115,0.333,1,Perf
600,0.115,0.333,1.2,Perf
601,0.115,0.333,1.4,Perf
602,0.115,0.333,1.6,Perf
603,0.115,0.333,1.8,Perf
604,0.115,0.333,2,Perf
605,0.083,0.5,0,DRF
606,0.083,0.5,0.2,Perf
607,0.083,0.5,0.4,Perf
608,0.083,0.5,0.6,Perf
609,0.083,0.5,0.8,Perf
610,0.083,0.5,1,Perf
611,0.083,0.5,1.2,Perf
612,0.083,0.5,1.4,Perf
613,0.083,0.5,1.6,Perf
614,0.083,0.5,1.8,Perf
615,0.083,0.5,2,Perf
616,0.076,0.5,0,DRF
617,0.076,0.5,0.2,DRF
618,0.076,0.5,0.4,DRF
619,0.076,0.5,0.6,Perf
620,0.076,0.5,0.8,Perf
621,0.076,0.5,1,Perf
622,0.076,0.5,1.2,Perf
623,0.076,0.5,1.4,Perf
624,0.076,0.5,1.6,Perf
625,0.076,0.5,1.8,Perf
626,0.076,0.5,2,Perf
627,0.142,0.714,0,DRF
628,0.142,0.714,0.2,Fair
629,0.142,0.714,0.4,Perf
630,0.142,0.714,0.6,Perf
631,0.142,0.714,0.8,Perf
632,0.142,0.714,1,Perf
633,0.142,0.714,1.2,Perf
634,0.142,0.714,1.4,Perf
635,0.142,0.714,1.6,Perf
636,0.142,0.714,1.8,Perf
637,0.142,0.714,2,Perf
638,0.071,1,0,DRF
639,0.071,1,0.2,Fair
640,0.071,1,0.4,Fair
641,0.071,1,0.6,Fair
642,0.071,1,0.8,Fair
643,0.071,1,1,Fair
644,0.071,1,1.2,Fair
645,0.071,1,1.4,Fair
646,0.071,1,1.6,Fair
647,0.071,1,1.8,Fair
648,0.071,1,2,Fair
649,0.074,0.5,0,DRF
650,0.074,0.5,0.2,Fair
651,0.074,0.5,0.4,FIFO
652,0.074,0.5,0.6,FIFO
653,0.074,0.5,0.8,FIFO
654,0.074,0.5,1,FIFO
655,0.074,0.5,1.2,FIFO
656,0.074,0.5,1.4,FIFO
657,0.074,0.5,1.6,FIFO
658,0.074,0.5,1.8,FIFO
659,0.074,0.5,2,FIFO
660,0.092,1,0,DRF
661,0.092,1,0.2,Perf
662,0.092,1,0.4,Perf
663,0.092,1,0.6,Perf
664,0.092,1,0.8,Perf
665,0.092,1,1,Perf
666,0.092,1,1.2,Perf
667,0.092,1,1.4,Perf
668,0.092,1,1.6,Perf
669,0.092,1,1.8,Perf
670,0.092,1,2,Perf
671,0.081,0.333,0,DRF
672,0.081,0.333,0.2,DRF
673,0.081,0.333,0.4,DRF
674,0.081,0.333,0.6,DRF
675,0.081,0.333,0.8,DRF
676,0.081,0.333,1,DRF
677,0.081,0.333,1.2,DRF
678,0.081,0.333,1.4,DRF
679,0.081,0.333,1.6,DRF
680,0.081,0.333,1.8,DRF
681,0.081,0.333,2,DRF
682,0.068,0.5,0,DRF
683,0.068,0.5,0.2,DRF
684,0.068,0.5,0.4,DRF
685,0.068,0.5,0.6,FIFO
686,0.068,0.5,0.8,FIFO
687,0.068,0.5,1,FIFO
688,0.068,0.5,1.2,FIFO
689,0.068,0.5,1.4,FIFO
690,0.068,0.5,1.6,FIFO
691,0.068,0.5,1.8,FIFO
692,0.068,0.5,2,FIFO
693,0.118,0.5,0,DRF
694,0.118,0.5,0.2,Perf
695,0.118,0.5,0.4,Perf
696,0.118,0.5,0.6,FIFO
697,0.118,0.5,0.8,FIFO
698,0.118,0.5,1,FIFO
