FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.028 0.112 0.500 0.103 1.030 0.191 0.198 0.147 0.000 0.000 1.755
0.010 0.089 0.333 0.081 0.029 0.097 0.118 0.032 0.000 0.000 0.175
0.053 0.104 0.714 0.000 0.406 0.211 0.260 0.211 0.000 0.014 0.524
0.116 0.116 1.000 0.154 0.527 0.185 0.280 0.231 0.000 0.000 0.032
0.090 0.176 0.714 0.073 0.649 0.164 0.083 0.164 0.000 0.000 0.312
0.114 0.114 1.000 0.167 0.089 0.117 0.285 0.083 0.000 0.000 0.081
0.013 0.115 0.333 0.000 0.492 0.217 0.056 0.217 0.000 0.183 0.728
0.112 0.112 1.000 0.066 0.131 0.053 0.108 0.158 0.000 0.000 0.032
0.058 0.113 0.714 0.000 0.334 0.051 0.193 0.026 0.000 0.013 0.214
0.091 0.178 0.714 0.081 0.181 0.162 0.202 0.162 0.000 0.000 0.151
0.073 0.073 1.000 0.149 0.133 0.043 0.115 0.043 0.000 0.000 0.115
0.116 0.116 1.000 0.012 0.041 0.111 0.124 0.025 0.000 0.000 0.226
0.078 0.153 0.714 0.210 1.436 0.177 0.135 0.097 0.000 0.000 1.453
0.032 0.127 0.500 0.052 0.066 0.156 0.161 0.156 0.000 0.000 0.000
0.040 0.078 0.714 0.092 0.692 0.154 0.148 0.015 0.000 0.000 0.000
0.015 0.061 0.500 0.016 0.422 0.161 0.048 0.097 0.000 0.000 0.922
0.167 0.167 1.000 0.000 0.779 0.072 0.261 0.130 0.000 0.000 1.103
0.151 0.151 1.000 0.000 1.202 0.175 0.103 0.143 0.000 0.079 1.226
0.010 0.250 0.200 0.093 0.623 0.258 0.049 0.206 0.000 0.000 0.822
0.000 0.043 0.091 0.038 0.000 0.038 0.022 0.038 0.000 0.000 0.007
0.001 0.034 0.200 0.149 0.097 0.193 0.088 0.105 0.000 0.000 0.247
0.001 0.037 0.200 0.000 0.346 0.099 0.068 0.027 0.000 0.009 0.809
0.000 0.038 0.091 0.018 0.351 0.173 0.091 0.127 0.000 0.000 0.362
0.000 0.007 0.200 0.000 0.414 0.029 0.033 0.022 0.000 0.029 0.434
0.000 0.000 0.000 0.000 0.045 0.036 0.028 0.036 0.000 0.000 0.045
0.003 0.076 0.200 0.120 1.422 0.128 0.159 0.077 0.000 0.000 0.374
0.006 0.147 0.200 0.000 0.178 0.094 0.135 0.120 0.000 0.000 0.109
0.008 0.198 0.200 0.000 0.508 0.296 0.153 0.296 0.000 0.000 0.366
0.074 0.296 0.500 0.076 0.174 0.087 0.120 0.065 0.000 0.000 0.228
0.007 0.164 0.200 0.105 0.839 0.105 0.043 0.095 0.000 0.000 1.577
0.024 0.047 0.714 0.027 0.455 0.127 0.123 0.000 0.000 0.000 0.001
0.011 0.045 0.500 0.136 0.158 0.203 0.126 0.237 0.000 0.000 0.042
0.007 0.027 0.500 0.114 0.222 0.079 0.159 0.079 0.000 0.000 0.116
0.003 0.011 0.500 0.020 0.713 0.214 0.006 0.204 0.000 0.000 0.700
