,Comple,Symm,UnFairSLA,BestScheduler
648,0.369,0.846,2,DRF
649,0.164,0.714,0,DRF
650,0.164,0.714,0.2,DRF
651,0.164,0.714,0.4,DRF
652,0.164,0.714,0.6,DRF
653,0.164,0.714,0.8,DRF
654,0.164,0.714,1,DRF
655,0.164,0.714,1.2,DRF
656,0.164,0.714,1.4,DRF
657,0.164,0.714,1.6,DRF
658,0.164,0.714,1.8,DRF
659,0.164,0.714,2,DRF
660,0.213,0.846,0,DRF
661,0.213,0.846,0.2,Fair
662,0.213,0.846,0.4,Perf
663,0.213,0.846,0.6,Perf
664,0.213,0.846,0.8,Perf
665,0.213,0.846,1,Perf
666,0.213,0.846,1.2,Perf
667,0.213,0.846,1.4,Perf
668,0.213,0.846,1.6,Perf
669,0.213,0.846,1.8,Perf
670,0.213,0.846,2,Perf
671,0.227,0.6,0,DRF
672,0.227,0.6,0.2,DRF
673,0.227,0.6,0.4,DRF
674,0.227,0.6,0.6,DRF
675,0.227,0.6,0.8,DRF
676,0.227,0.6,1,DRF
677,0.227,0.6,1.2,DRF
678,0.227,0.6,1.4,DRF
679,0.227,0.6,1.6,DRF
680,0.227,0.6,1.8,DRF
681,0.227,0.6,2,DRF
682,0.234,0.6,0,DRF
683,0.234,0.6,0.2,Fair
684,0.234,0.6,0.4,Fair
685,0.234,0.6,0.6,Fair
686,0.234,0.6,0.8,Fair
687,0.234,0.6,1,Perf
688,0.234,0.6,1.2,Perf
689,0.234,0.6,1.4,Perf
690,0.234,0.6,1.6,Perf
691,0.234,0.6,1.8,Perf
692,0.234,0.6,2,Perf
693,0.258,0.714,0,DRF
694,0.258,0.714,0.2,DRF
695,0.258,0.714,0.4,DRF
696,0.258,0.714,0.6,DRF
697,0.258,0.714,0.8,DRF
698,0.258,0.714,1,DRF
699,0.258,0.714,1.2,DRF
700,0.258,0.714,1.4,DRF
701,0.258,0.714,1.6,DRF
702,0.258,0.714,1.8,DRF
703,0.258,0.714,2,DRF
704,0.151,0.714,0,DRF
705,0.151,0.714,0.2,Fair
706,0.151,0.714,0.4,Fair
707,0.151,0.714,0.6,Perf
708,0.151,0.714,0.8,Perf
709,0.151,0.714,1,Perf
710,0.151,0.714,1.2,Perf
711,0.151,0.714,1.4,Perf
712,0.151,0.714,1.6,Perf
713,0.151,0.714,1.8,Perf
714,0.151,0.714,2,Perf
715,0.246,0.714,0,DRF
716,0.246,0.714,0.2,Perf
717,0.246,0.714,0.4,Perf
718,0.246,0.714,0.6,Perf
719,0.246,0.714,0.8,Perf
720,0.246,0.714,1,Perf
721,0.246,0.714,1.2,Perf
722,0.246,0.714,1.4,Perf
723,0.246,0.714,1.6,Perf
724,0.246,0.714,1.8,Perf
725,0.246,0.714,2,Perf
726,0.147,0.6,0,DRF
727,0.147,0.6,0.2,DRF
